HRV_MeanNN,{0: 798.0}
HRV_SDNN,{0: 92.4441773500415}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 116.36468854743153}
HRV_SDSD,{0: 117.4519840337281}
HRV_CVNN,{0: 0.11584483377198183}
HRV_CVSD,{0: 0.14582041171357335}
HRV_MedianNN,{0: 810.0}
HRV_MadNN,{0: 74.13}
HRV_MCVNN,{0: 0.09151851851851851}
HRV_IQRNN,{0: 100.0}
HRV_Prc20NN,{0: 760.0}
HRV_Prc80NN,{0: 880.0}
HRV_pNN50,{0: 69.0909090909091}
HRV_pNN20,{0: 87.27272727272727}
HRV_MinNN,{0: 350.0}
HRV_MaxNN,{0: 890.0}
HRV_HTI,{0: 5.5}
HRV_TINN,{0: 468.75}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.009103397473129984}
HRV_HF,{0: 0.09724498503735995}
HRV_VHF,{0: 0.04995963907615994}
HRV_LFHF,{0: 0.09361302765003877}
HRV_LFn,{0: 0.05824011705044508}
HRV_HFn,{0: 0.6221368810778011}
HRV_LnHF,{0: -2.3305218655524724}
shannon,(1.5683435840661193, {'Symbolization': 3, 'Base': 2})
SampEn,(0.18813086037897098, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.08242418913047994})
Entropy_SVD,(0.13274399515223187, {'Dimension': 2, 'Delay': 1})
