HRV_MeanNN,{0: 533.6585365853658}
HRV_SDNN,{0: 143.522804959738}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 187.14884813437857}
HRV_SDSD,{0: 188.31473195585346}
HRV_CVNN,{0: 0.26894127071980156}
HRV_CVSD,{0: 0.3506902547307825}
HRV_MedianNN,{0: 470.0}
HRV_MadNN,{0: 74.13}
HRV_MCVNN,{0: 0.15772340425531914}
HRV_IQRNN,{0: 165.0}
HRV_Prc20NN,{0: 422.0}
HRV_Prc80NN,{0: 618.0}
HRV_pNN50,{0: 56.09756097560976}
HRV_pNN20,{0: 75.60975609756098}
HRV_MinNN,{0: 380.0}
HRV_MaxNN,{0: 950.0}
HRV_HTI,{0: 8.2}
HRV_TINN,{0: 109.375}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.02675784396601051}
HRV_HF,{0: 0.12324129086857961}
HRV_VHF,{0: 0.029701119303507557}
HRV_LFHF,{0: 0.21711752430883072}
HRV_LFn,{0: 0.14890264955021934}
HRV_HFn,{0: 0.68581589636412}
HRV_LnHF,{0: -2.093611130879935}
shannon,(1.2589694726457867, {'Symbolization': 3, 'Base': 2})
SampEn,(0.31185989699823663, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.06632381986397995})
Entropy_SVD,(0.18444668184805296, {'Dimension': 2, 'Delay': 1})
