HRV_MeanNN,{0: 539.1463414634146}
HRV_SDNN,{0: 154.9209373787214}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 178.02066740884712}
HRV_SDSD,{0: 179.12966887594285}
HRV_CVNN,{0: 0.28734487367236267}
HRV_CVSD,{0: 0.33018988300215935}
HRV_MedianNN,{0: 475.0}
HRV_MadNN,{0: 81.54299999999999}
HRV_MCVNN,{0: 0.1716694736842105}
HRV_IQRNN,{0: 147.5}
HRV_Prc20NN,{0: 430.0}
HRV_Prc80NN,{0: 610.0}
HRV_pNN50,{0: 56.09756097560976}
HRV_pNN20,{0: 75.60975609756098}
HRV_MinNN,{0: 380.0}
HRV_MaxNN,{0: 1090.0}
HRV_HTI,{0: 11.714285714285714}
HRV_TINN,{0: 39.0625}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.0415548576436376}
HRV_HF,{0: 0.1246819100217466}
HRV_VHF,{0: 0.007156797393843896}
HRV_LFHF,{0: 0.33328698314286126}
HRV_LFn,{0: 0.23965628499214037}
HRV_HFn,{0: 0.7190688419097763}
HRV_LnHF,{0: -2.081989504808726}
shannon,(1.3118392335207687, {'Symbolization': 3, 'Base': 2})
SampEn,(0.3519873783743218, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.0019411041704534594})
Entropy_SVD,(0.17551965328230992, {'Dimension': 2, 'Delay': 1})
