HRV_MeanNN,{0: 508.95348837209303}
HRV_SDNN,{0: 130.19468742904576}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 176.55860550103637}
HRV_SDSD,{0: 177.60640082340888}
HRV_CVNN,{0: 0.2558086159218171}
HRV_CVSD,{0: 0.3469051878704393}
HRV_MedianNN,{0: 470.0}
HRV_MadNN,{0: 74.13}
HRV_MCVNN,{0: 0.15772340425531914}
HRV_IQRNN,{0: 127.5}
HRV_Prc20NN,{0: 420.0}
HRV_Prc80NN,{0: 590.0}
HRV_pNN50,{0: 54.65116279069767}
HRV_pNN20,{0: 70.93023255813954}
HRV_MinNN,{0: 310.0}
HRV_MaxNN,{0: 940.0}
HRV_HTI,{0: 10.75}
HRV_TINN,{0: 179.6875}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.0207621033541674}
HRV_HF,{0: 0.10935203352616897}
HRV_VHF,{0: 0.023630200170655362}
HRV_LFHF,{0: 0.1898648126118188}
HRV_LFn,{0: 0.13504304452710555}
HRV_HFn,{0: 0.7112589356048974}
HRV_LnHF,{0: -2.2131829355423873}
shannon,(1.1912755004059306, {'Symbolization': 3, 'Base': 2})
SampEn,(0.2944526404980871, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.5257947708437928})
Entropy_SVD,(0.2032851476785659, {'Dimension': 2, 'Delay': 1})
