HRV_MeanNN,{0: 519.875}
HRV_SDNN,{0: 122.1795084229799}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 169.10786012019187}
HRV_SDSD,{0: 170.1882418092202}
HRV_CVNN,{0: 0.23501708761332993}
HRV_CVSD,{0: 0.3252856169659858}
HRV_MedianNN,{0: 490.0}
HRV_MadNN,{0: 88.95599999999999}
HRV_MCVNN,{0: 0.18154285714285712}
HRV_IQRNN,{0: 112.5}
HRV_Prc20NN,{0: 430.0}
HRV_Prc80NN,{0: 590.0}
HRV_pNN50,{0: 61.25000000000001}
HRV_pNN20,{0: 81.25}
HRV_MinNN,{0: 350.0}
HRV_MaxNN,{0: 890.0}
HRV_HTI,{0: 13.333333333333334}
HRV_TINN,{0: 125.0}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.020146209293055255}
HRV_HF,{0: 0.09970063298281144}
HRV_VHF,{0: 0.039367421962337626}
HRV_LFHF,{0: 0.20206701492585805}
HRV_LFn,{0: 0.12653520329632037}
HRV_HFn,{0: 0.6262041498596312}
HRV_LnHF,{0: -2.3055832531597598}
shannon,(1.4132648316946603, {'Symbolization': 3, 'Base': 2})
SampEn,(0.2172746974794528, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.005120597809243982})
Entropy_SVD,(0.21153692171229246, {'Dimension': 2, 'Delay': 1})
