HRV_MeanNN,{0: 807.9629629629629}
HRV_SDNN,{0: 96.94152350636156}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 131.76594457955892}
HRV_SDSD,{0: 133.0263459179153}
HRV_CVNN,{0: 0.11998263280640671}
HRV_CVSD,{0: 0.1630841395208843}
HRV_MedianNN,{0: 830.0}
HRV_MadNN,{0: 51.891}
HRV_MCVNN,{0: 0.06251927710843373}
HRV_IQRNN,{0: 60.0}
HRV_Prc20NN,{0: 776.0}
HRV_Prc80NN,{0: 864.0}
HRV_pNN50,{0: 55.55555555555556}
HRV_pNN20,{0: 74.07407407407408}
HRV_MinNN,{0: 350.0}
HRV_MaxNN,{0: 970.0}
HRV_HTI,{0: 7.714285714285714}
HRV_TINN,{0: 500.0}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.007413432107647791}
HRV_HF,{0: 0.12306572814961425}
HRV_VHF,{0: 0.034676430967867905}
HRV_LFHF,{0: 0.06023961519680838}
HRV_LFn,{0: 0.04488756361594962}
HRV_HFn,{0: 0.7451502382493284}
HRV_LnHF,{0: -2.0950366911371865}
shannon,(1.1297518964441013, {'Symbolization': 3, 'Base': 2})
SampEn,(0.20148290591323215, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.0441161902171449})
Entropy_SVD,(0.13065913767672369, {'Dimension': 2, 'Delay': 1})
