,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks
2272,-1.2717655374322245,-0.07267768102781401,101.0709498336768,0.0
2273,-1.2681490978733427,-0.06541630099774348,101.03317213229168,0.0
2274,-1.2709266363226754,-0.06307406130902057,100.99538379538429,0.0
2275,-1.2790265887972085,-0.06612603135714787,100.95763166805793,0.0
2276,-1.290740967358861,-0.07445150958788409,100.9199624554589,0.0
2277,-1.304558961084303,-0.08758214394662532,100.88242272345818,0.0
2278,-1.3197648398029664,-0.10491360793607313,100.84505889976232,0.0
2279,-1.3365801467815432,-0.12583017422436094,100.80791727545035,0.0
2280,-1.355827432225234,-0.1497254159258847,100.77104400693288,0.0
2281,-1.3783003591048402,-0.17593855214935086,100.73448511833067,0.0
2282,-1.4041425264688423,-0.2036529799501849,100.69828650426929,0.0
2283,-1.432510457719746,-0.23181348904963175,100.662493933087,0.0
2284,-1.4616457127526858,-0.25911006706817946,100.62715305045255,0.0
2285,-1.4892890983979112,-0.2840537652886426,100.59230938339095,0.0
2286,-1.51323312252151,-0.3051421278073011,100.55800834471356,0.0
2287,-1.5317869855840753,-0.3210865823456007,100.5242952378509,0.0
2288,-1.5440164952039697,-0.3310575281604925,100.49121526208525,0.0
2289,-1.5497578498089228,-0.3348963499594385,100.45881351818171,0.0
2290,-1.549509321251071,-0.33324598697318436,100.42713501441496,0.0
2291,-1.5443253481767432,-0.32756075649788335,100.39622467299051,0.0
2292,-1.5357740348997018,-0.31997038995480337,100.36612733685963,0.0
2293,-1.5259199531158631,-0.3129924646259745,100.33688777692532,0.0
2294,-1.517223077100256,-0.3091117179818932,100.30855069963997,0.0
2295,-1.5122435218826815,-0.31027287145652815,100.28116075499297,0.0
2296,-1.5131118213531944,-0.31736161990251516,100.25476254488868,0.0
2297,-1.5208328038541292,-0.329769645385046,100.22940063191439,0.0
2298,-1.5345915564950838,-0.3451459397209565,100.20511954849837,0.0
2299,-1.5512836640644003,-0.35942188387709373,100.1819638064593,0.0
2300,-1.5654783402980423,-0.36715928513120955,100.1599779069474,0.0
2301,-1.5699420238116553,-0.3622130229117003,100.13920635077902,0.0
2302,-1.556718657925159,-0.3386335877538426,100.11969364916634,0.0
2303,-1.5186112310767084,-0.2916745199056873,100.10148433484416,0.0
2304,-1.4507752046358307,-0.21873123380377518,100.08462297359652,0.0
2305,-1.3520582210916243,-0.12003299506140554,100.06915417618627,0.0
2306,-1.225734949260743,0.0010565237194847532,100.05512261069029,0.0
2307,-1.079403867881786,0.1382075655951806,100.0425730152452,0.0
2308,-0.9240139430108417,0.2827522127968661,100.03155021120733,0.0
2309,-0.7722175777443675,0.42467576576584465,100.02209911673178,0.0
2310,-0.6364261496273965,0.5538084315906707,100.01426476077611,0.0
2311,-0.5270114381142006,0.6610220762518039,100.00809229753477,0.0
2312,-0.4510275548025191,0.7392455748254546,100.00362702130994,0.0
2313,-0.41165422773970867,0.7841575011533718,100.00091438182682,0.0
2314,-0.40835263841909897,0.7944834040864924,100.0,1.0
2315,-0.43755426294417865,0.7718991163078668,100.00456301565114,0.0
2316,-0.49361914518945665,0.7206045250179287,100.01803849219809,0.0
2317,-0.5698088441023744,0.6466722297672874,100.04010938924338,0.0
2318,-0.6590936631509621,0.5572883074309078,100.07046264345146,0.0
2319,-0.7547142103898846,0.45999126103567445,100.10878863516888,0.0
2320,-0.8505101976263555,0.36198868272408735,100.15478067869869,0.0
2321,-0.9410932206984111,0.26959965605385233,100.20813453504672,0.0
2322,-1.021964284809352,0.18784345864804802,100.2685479460955,0.0
