HRV_MeanNN,{0: 587.8378378378378}
HRV_SDNN,{0: 48.66070030491879}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 55.443418029011575}
HRV_SDSD,{0: 55.82097934611876}
HRV_CVNN,{0: 0.08277912235779289}
HRV_CVSD,{0: 0.0943175387160197}
HRV_MedianNN,{0: 590.0}
HRV_MadNN,{0: 44.477999999999994}
HRV_MCVNN,{0: 0.0753864406779661}
HRV_IQRNN,{0: 50.0}
HRV_Prc20NN,{0: 550.0}
HRV_Prc80NN,{0: 620.0}
HRV_pNN50,{0: 12.162162162162163}
HRV_pNN20,{0: 47.2972972972973}
HRV_MinNN,{0: 390.0}
HRV_MaxNN,{0: 680.0}
HRV_HTI,{0: 6.166666666666667}
HRV_TINN,{0: 210.9375}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.03968396632211804}
HRV_HF,{0: 0.02993200649214091}
HRV_VHF,{0: 0.004264230858468032}
HRV_LFHF,{0: 1.325803745650585}
HRV_LFn,{0: 0.537139373598769}
HRV_HFn,{0: 0.4051424468824301}
HRV_LnHF,{0: -3.5088269198677198}
shannon,(1.3924639760409319, {'Symbolization': 3, 'Base': 2})
SampEn,(0.34102258170537086, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.010482555076694992})
Entropy_SVD,(0.18171794386638274, {'Dimension': 2, 'Delay': 1})
