HRV_MeanNN,{0: 627.0}
HRV_SDNN,{0: 138.98545435310535}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 226.00179555526302}
HRV_SDSD,{0: 227.6233821294983}
HRV_CVNN,{0: 0.22166739131276772}
HRV_CVSD,{0: 0.36044943469738916}
HRV_MedianNN,{0: 630.0}
HRV_MadNN,{0: 88.95599999999999}
HRV_MCVNN,{0: 0.1412}
HRV_IQRNN,{0: 117.5}
HRV_Prc20NN,{0: 478.0}
HRV_Prc80NN,{0: 700.0}
HRV_pNN50,{0: 62.857142857142854}
HRV_pNN20,{0: 75.71428571428571}
HRV_MinNN,{0: 350.0}
HRV_MaxNN,{0: 960.0}
HRV_HTI,{0: 7.777777777777778}
HRV_TINN,{0: 289.0625}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.010259923091445092}
HRV_HF,{0: 0.05627645265158257}
HRV_VHF,{0: 0.031145922150301947}
HRV_LFHF,{0: 0.18231289656734553}
HRV_LFn,{0: 0.10503359680020086}
HRV_HFn,{0: 0.5761172071631363}
HRV_LnHF,{0: -2.8774790790781206}
shannon,(1.3709891296756906, {'Symbolization': 3, 'Base': 2})
SampEn,(0.26244020653374267, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.00173623716090818})
Entropy_SVD,(0.1687268474899796, {'Dimension': 2, 'Delay': 1})
