HRV_MeanNN,{0: 720.0}
HRV_SDNN,{0: 300.8820366854758}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 420.0833250677775}
HRV_SDSD,{0: 423.62826151568584}
HRV_CVNN,{0: 0.41789171761871635}
HRV_CVSD,{0: 0.5834490625941354}
HRV_MedianNN,{0: 670.0}
HRV_MadNN,{0: 103.782}
HRV_MCVNN,{0: 0.15489850746268657}
HRV_IQRNN,{0: 140.0}
HRV_Prc20NN,{0: 600.0}
HRV_Prc80NN,{0: 770.0}
HRV_pNN50,{0: 68.85245901639344}
HRV_pNN20,{0: 75.40983606557377}
HRV_MinNN,{0: 330.0}
HRV_MaxNN,{0: 2810.0}
HRV_HTI,{0: 12.2}
HRV_TINN,{0: 328.125}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.03572294170798039}
HRV_HF,{0: 0.05788610377650854}
HRV_VHF,{0: 0.0036399259810886734}
HRV_LFHF,{0: 0.6171246530238498}
HRV_LFn,{0: 0.3673349051370167}
HRV_HFn,{0: 0.5952361542147312}
HRV_LnHF,{0: -2.849277927068679}
shannon,(1.1014767358893447, {'Symbolization': 3, 'Base': 2})
SampEn,(0.23420772079565125, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.005447236410735373})
Entropy_SVD,(0.09102270342912754, {'Dimension': 2, 'Delay': 1})
